skill_id,skill_name,appearance_in_description,appearance_in_skill,skill_group
2110,Order Processing,1,1,Other
2119,Sales Strategy,5,4,Sales
2121,Brand Ambassadorship,0,2,Brand
2125,Foster Care,10,2,Other
2136,Customer Service Management,0,2,Sales
2139,Territory Management,2,1,Sales
2143,Deal Closure,0,2,Other
2152,Marketing Presentations,4,1,Sales
2158,Account Marketing,1,1,Sales
2159,Business Management,25,1,Strategy/Planning/Management
2162,Perseverant,1,1,Other
2164,Quality Control,6,1,Other
2165,Team Management,4,3,Strategy/Planning/Management
2166,Team Performance,11,1,Strategy/Planning/Management
2174,Trusting Relationships,8,1,Communication
2184,Active Listening,10,2,Communication
2187,Entrepreneurship,15,2,Other
2193,Client Representation,2,2,Sales
2230,Morale,2,1,Other
2237,Brand Loyalty,8,2,Brand
2242,Sales Campaigns,13,3,Sales
2248,New Client Acquisitions,2,1,Sales
2251,Sales Target Management,0,1,Sales
2279,Customer Facing Roles,5,2,Sales
2294,Charity Work,1,1,Other
2308,Mental Health,21,1,Other
2314,Outreach Programs,4,1,Other
2330,Compliance Procedures,1,1,Other
2338,Technical Support,5,1,Other
2366,Business Marketing,1,1,Strategy/Planning/Management
2370,Sales Planning,1,1,Sales
2418,Expert Communicator,2,2,Other
2422,Common Sense,2,1,Other
2423,Contract Terms,2,1,Other
2427,Platform Management,4,1,Strategy/Planning/Management
2431,Activations,9,1,Other
2434,Executive Visibility,0,1,Other
2435,Football,1,1,Other
2439,Sports Industry,1,1,Other
2440,Sports Marketing,3,1,Other
2441,Building Science,1,1,Other
2442,Construction Management,10,1,Strategy/Planning/Management
2444,Design Development,2,1,Technology
2446,Procore,5,2,Other
2447,Revit,5,1,Other
2450,Bluebeam,2,1,Other
2452,Glazing,1,1,Other
2455,Project Management Software,6,1,Strategy/Planning/Management
2456,Request for Information (RFI),0,1,Other
2459,Acknowledgements,1,1,Other
2461,Bios,5,1,Other
2462,Corporate Relations,1,1,Communication
2468,Brainstorm Facilitation,0,1,Other
2476,Social Networking,2,1,Communication
2477,Americans with Disabilities Act,5,1,Other
2484,Sales Contracts,0,1,Sales
2485,Sales Negotiation,0,1,Sales
2489,Management,486,82,Strategy/Planning/Management
2493,Startups,2,1,Other
